model,condition,metric,mean,population_sd,minimum,maximum
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,memcalib_score,0.8030888837050701,0.0020282723599253528,0.8009983402555679,0.8058350534906594
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,memcalib_h_score,0.8455846204502838,0.0016941642693912642,0.8437792148141094,0.8478513876818704
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,opb_error_rate,0.07194271207946908,0.0007113748842008774,0.07095964933907963,0.07261937063608224
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,upb_error_rate,0.2234239623629258,0.0024450890218786084,0.2202877704249312,0.22625337335340273
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,strict_sample_accuracy,0.14844444444444446,0.002060804110110148,0.14666666666666667,0.15133333333333332
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,mean_task_quality,2.5404444444444443,0.07683427733010523,2.452,2.6393333333333335
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,safety_failure_rate,0.0948888888888889,0.0038618104882183926,0.09066666666666667,0.1
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,contradiction_rate,0.00027173524406115475,2.0225877238213054e-05,0.00025743338911056766,0.00030033895396232893
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,constraint_violation_rate,0.00021452782425880637,3.5032247004235905e-05,0.0001716222594070451,0.00025743338911056766
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,scs_0_5,0.3041091916826036,0.0013276808403286024,0.3029331588745117,0.3059648100535075
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_directional_opb_0_5,0.591212885538737,0.0006255682296977269,0.5906495361328125,0.5920853068033854
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_directional_upb_0_5,0.24097569444444444,0.0022423405723225767,0.23809375,0.2435625
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_directional_h_0_5,0.5313838206088088,0.000318530664735334,0.53101115835869,0.5317893201897814
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_any_opb_rate,0.7562222222222222,0.0003142696805273722,0.756,0.7566666666666667
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_any_upb_rate,0.36999999999999994,0.0028284271247461927,0.366,0.372
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_event_h,0.3515286708866643,0.00011190615670208307,0.3514495412844037,0.3516869300911854
ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,sample_exact_accuracy,0.14844444444444446,0.002060804110110148,0.14666666666666667,0.15133333333333332
qwen35-35b-a3b-local-vllm,full_memory,memcalib_score,0.8267597636622398,0.0010284937810788404,0.8259605119536525,0.8282118137258316
qwen35-35b-a3b-local-vllm,full_memory,memcalib_h_score,0.8684873308274715,0.0008850547020987096,0.8677922223984873,0.8697363288519301
qwen35-35b-a3b-local-vllm,full_memory,opb_error_rate,0.09284910356279415,0.0005669446428050308,0.09233129432032361,0.09363814451868029
qwen35-35b-a3b-local-vllm,full_memory,upb_error_rate,0.16701125094384625,0.002106684958922732,0.16404413489257225,0.16872793774919767
qwen35-35b-a3b-local-vllm,full_memory,strict_sample_accuracy,0.10133333333333333,0.0016329931618554534,0.09933333333333333,0.10333333333333333
qwen35-35b-a3b-local-vllm,full_memory,mean_task_quality,3.5762222222222224,0.005559998223643033,3.5713333333333335,3.584
qwen35-35b-a3b-local-vllm,full_memory,safety_failure_rate,0.007777777777777778,0.0008314794192830978,0.006666666666666667,0.008666666666666666
qwen35-35b-a3b-local-vllm,full_memory,contradiction_rate,0.00025743338911056766,9.26866134409957e-05,0.0001716222594070451,0.00038615008366585146
qwen35-35b-a3b-local-vllm,full_memory,constraint_violation_rate,4.2905564851761274e-05,0.0,4.2905564851761274e-05,4.2905564851761274e-05
qwen35-35b-a3b-local-vllm,full_memory,scs_0_5,0.2459059393143074,0.00117807942451916,0.24425958760641514,0.24695036443074544
qwen35-35b-a3b-local-vllm,full_memory,sample_directional_opb_0_5,0.6773965136201845,0.0015636729307173533,0.6753852818806966,0.6791982574438056
qwen35-35b-a3b-local-vllm,full_memory,sample_directional_upb_0_5,0.18553645833333332,0.002635461269934368,0.1820625,0.18844270833333332
qwen35-35b-a3b-local-vllm,full_memory,sample_directional_h_0_5,0.462147270300129,0.0014615354845709404,0.4602093229781951,0.46373865788449986
qwen35-35b-a3b-local-vllm,full_memory,sample_any_opb_rate,0.832,0.0014401645996461696,0.8306666666666667,0.834
qwen35-35b-a3b-local-vllm,full_memory,sample_any_upb_rate,0.2982222222222222,0.0052304899093065845,0.29133333333333333,0.304
qwen35-35b-a3b-local-vllm,full_memory,sample_event_h,0.27108992158028955,0.0014987969200814237,0.26899085365853664,0.2723944530046225
qwen35-35b-a3b-local-vllm,full_memory,sample_exact_accuracy,0.10133333333333333,0.0016329931618554534,0.09933333333333333,0.10333333333333333
