model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.04577900256826767,0.30998921916765304,0.8008880307855741,0.690010780832347,0.7724503971128606,0.6584227755244907,0.7628211855093863,0.7532192992854722,0.6477508032412606,0.6889998194999939,0.7233288622888578,0.12378337908659845,0.028450212128774643,0.246,0.384,0.24209019197177092,0.28661232773074874,0.5753258459680167,0.5546550484425992,0.513313453391764,0.6165016098561996,1.3445997933262026,-0.8935866178372502,-0.8935866178372502,0.5523161390381073
deepseek,DeepSeek-V4-Pro,0.09217531639835749,0.1842244191409788,0.8593421849062249,0.8157755808590212,0.8557028914237252,0.740581208583287,0.8157335096404424,0.7076150336304751,0.5859126966070787,0.5897992568155059,0.6124547936087649,0.20102320938357873,0.053281756925380584,0.136,0.624,0.33641281594222766,0.39513948846528035,0.6495735487499138,0.605897899115841,0.5185465998476955,0.7027000305249836,-0.7324247764207295,0.5832612953485272,-0.7324247764207295,-0.23804549469263928
deepseek-flash,DeepSeek-V4-Flash,0.07010029376712267,0.21642937721243244,0.8504869674159123,0.7835706227875676,0.8414186929014921,0.7286420919428719,0.8089802193469633,0.7304465513437709,0.6132191718782242,0.6277396323678048,0.650846218263972,0.17095083603693537,0.04479660593960569,0.178,0.564,0.29910545361358054,0.3472659081114963,0.6429514721426073,0.6104185014708617,0.5453525601273704,0.6922767835332994,-0.0028963010666247513,0.1682306567129328,-0.0028963010666247513,0.026901751583468598
glm52,GLM-5.2,0.07799682144394653,0.17283924889829896,0.8720107118168186,0.8271607511017011,0.8682051716941964,0.7626448416925811,0.8327759531051697,0.7367638069239866,0.6228924307996665,0.6337565398444822,0.6589144658820603,0.17244821562266036,0.04317444472173696,0.148,0.554,0.27173054723054724,0.3069904988174219,0.67413915424185,0.6379881707224455,0.5656862036836363,0.7319857720975078,-0.27356802773899425,0.7438752691311521,-0.27356802773899425,0.0034388291332635855
kimi,Kimi-K2.6,0.06287866497836601,0.258130081300813,0.828142644677973,0.7418699186991871,0.8121124238179757,0.6952221286237732,0.785994169147214,0.7347848299518022,0.6137976346893094,0.63883499462058,0.6645136865988708,0.15734963813326677,0.04080359371100574,0.182,0.528,0.2767647073824756,0.32142041494268214,0.6009103075804448,0.5714475650189051,0.5125220798958257,0.6505520933277157,0.4540708889095413,-0.32505956844620476,-0.32505956844620476,0.19081055109131873
qwen-flash,Qwen3.6-Flash,0.07757088369617049,0.23448866067608043,0.8366763719642145,0.7655113393239196,0.826153869676685,0.7061299482531241,0.7919603037518327,0.7190322002002186,0.5949744090959338,0.6149385541044592,0.641460615905046,0.1756925380583978,0.045170950836036936,0.164,0.56,0.3027709649498585,0.3555137882970856,0.6131503906536423,0.5769237355887755,0.5044704254590417,0.6622477208305102,-0.048319850812013954,-0.04991359667011386,-0.04991359667011386,0.004792344742431199
qwen-max,Qwen3.7-Max,0.09173498174402019,0.16528155199528755,0.869940055188349,0.8347184480047125,0.8676313915450456,0.7581455664156034,0.8286556441737948,0.7156087895171469,0.5981054772052964,0.5996183362408576,0.6207391095609974,0.19790366857998504,0.05365610182181183,0.108,0.672,0.3063672839458443,0.34479275925379166,0.6736436165597965,0.630371607025533,0.5438275879570058,0.7261038151115228,-0.7119197915384738,0.8390909914115703,-0.7119197915384738,-0.291237405722862
qwen3-8b,Qwen3-8B,0.05677297202013881,0.364278212160112,0.7595306023329821,0.635721787839888,0.7213670601173807,0.5996299725662614,0.7192992105464994,0.6893993568128532,0.554279863813643,0.5881444267025273,0.6194293765241379,0.1718243074619416,0.04255053656101822,0.142,0.526,0.28771734139239863,0.3341136488733743,0.5257714482726904,0.4989529960735805,0.4453160916753607,0.5490559942407844,0.5422975406024984,-1.452360644915212,-1.452360644915212,0.01562085583736329
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.08655385110227633,0.20019838954370406,0.8528546988778373,0.7998016104562959,0.8473128861732578,0.7305757009535009,0.8088318395693465,0.7098991642195726,0.5879668399009192,0.5954858304180306,0.6196934401500291,0.19353631145495384,0.04941352632892438,0.128,0.604,0.30776047971636206,0.35030348924579696,0.6574874464345943,0.6167326131121464,0.5352229464672508,0.6956616075589781,-0.5718394752614042,0.38646221526459534,-0.5718394752614042,-0.26459757101045134
