model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.027542687453600594,0.26571428571428574,0.8367533965331252,0.7342857142857142,0.8138845353732121,0.714061512355499,0.8044953512214091,0.7939549139823304,0.6828864584052838,0.7309895941032191,0.7726937218462643,0.10730478589420656,0.01952141057934509,0.2975708502024291,0.27125506072874495,0.20754784990551245,0.2477673905042326,0.5917007582220131,0.5786603156158688,0.5525794304035805,0.6686602131869694,1.3167602571327262,-0.28948745513232677,-0.28948745513232677,0.6413178911259847
deepseek,DeepSeek-V4-Pro,0.06976703079152968,0.19020013802622499,0.8658486398289984,0.809799861973775,0.8597315437207724,0.7533025300684741,0.8266885541214969,0.7321615721688524,0.5989694472697621,0.6236862809607568,0.6664060858814576,0.1770780856423174,0.03438287153652393,0.14777327935222673,0.46356275303643724,0.2746186571856077,0.3089652618623207,0.631697284510783,0.5978045069097648,0.5300189517077286,0.7099635496655485,-0.48285309283537714,0.592237822603519,-0.48285309283537714,-0.1582478647538277
deepseek-flash,DeepSeek-V4-Flash,0.05658076148053877,0.2530917874396135,0.8337409141494982,0.7469082125603865,0.8176115271706688,0.7046475771376517,0.7935516340532317,0.7373883035812682,0.5977861260758451,0.6418327563758766,0.6893867914867122,0.15730478589420654,0.02959697732997481,0.16194331983805668,0.4068825910931174,0.24524389317253095,0.27768270253997807,0.5954919374547535,0.5677954691124054,0.5124025324277093,0.6557818800086167,0.16562936253751648,-0.14874992014803068,-0.14874992014803068,0.01195310990259809
glm52,GLM-5.2,0.056552479937780606,0.21601794340924776,0.8563543626443458,0.7839820565907523,0.8457301397230065,0.7396459270638238,0.8182863844353143,0.7519303867982646,0.6210921789436281,0.6562364702641004,0.6999826797206876,0.15239294710327456,0.028211586901763223,0.2125506072874494,0.39271255060728744,0.23982008527136403,0.2758517628719675,0.5918952168840811,0.5653777353554638,0.512342772298229,0.6880843911678437,0.10198485525321566,0.284268772346163,0.10198485525321566,0.17220861564468795
kimi,Kimi-K2.6,0.060732845476720754,0.19424430641821946,0.867403952187021,0.8057556935817806,0.8599433836840806,0.7568198575514903,0.8300152320700399,0.7534688240508182,0.6214859816513819,0.660216454973202,0.7124612533320216,0.1535264483627204,0.024307304785894206,0.21052631578947367,0.3481781376518219,0.24673320625023412,0.28076555470673115,0.641466474844029,0.612387746099376,0.5542302886100698,0.7172279927612766,-0.11674621602953472,0.5410354052116033,-0.11674621602953472,0.10574655559100311
qwen-flash,Qwen3.6-Flash,0.08679605472478523,0.16022774327122152,0.8749500844343396,0.8397722567287784,0.8726614787166557,0.7668833379773909,0.8353174680026622,0.7164932679883543,0.5798250066196412,0.5987234511968926,0.6496902035257333,0.19848866498740556,0.03400503778337532,0.13157894736842105,0.45951417004048584,0.29099937860258224,0.34051668138624663,0.6372548459040179,0.5956898160316384,0.5125597562868793,0.7259061145630926,-1.1722547019948566,0.9944780877477197,-1.1722547019948566,-0.3607639717152639
qwen-max,Qwen3.7-Max,0.059138473503729624,0.26133195307108353,0.8275940563407012,0.7386680469289164,0.8104816364276454,0.694984346207559,0.7863530489501246,0.7326535585270094,0.5939166687504333,0.635574416454735,0.6791332018904579,0.1596977329974811,0.032493702770780855,0.17611336032388664,0.43724696356275305,0.25427604895104894,0.28616955397543636,0.5326302680137288,0.5047084311275266,0.4488647573551223,0.626189393377926,0.2127618885606246,-0.23702946450054618,-0.23702946450054618,0.014708815311408545
qwen3-8b,Qwen3-8B,0.032196768833739876,0.4790683229813665,0.6772990375434631,0.5209316770186335,0.607137198326204,0.5041593602354921,0.6591566054565957,0.6744132573617739,0.5203685810586974,0.5739064110351981,0.6223100916343889,0.15843828715365238,0.03198992443324937,0.145748987854251,0.4251012145748988,0.2798741524176307,0.32931262939958594,0.4223406434973201,0.4069104105281116,0.3760499445896947,0.4466178931131449,1.1771404107765857,-2.4760177973861897,-2.4760177973861897,-0.02295042967966283
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.0874642061724467,0.17870945479641132,0.8645122095090743,0.8212905452035887,0.860955961504379,0.7494570196304209,0.822550892687428,0.7108080519288623,0.5644754420992375,0.5890323557645581,0.6438506479277708,0.20188916876574306,0.033375314861460954,0.10728744939271255,0.44129554655870445,0.29682334580736114,0.33948001998002,0.6198175456232006,0.5774473755804248,0.49270703549487316,0.7027372956185338,-1.202422763400902,0.7392645492580852,-1.202422763400902,-0.40397272142692797
