model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.027747728638597233,0.2594409937888199,0.8407349779788585,0.7405590062111801,0.8190610150461457,0.720010175865963,0.8085408517150553,0.8017161952964292,0.6996025520722025,0.7450820892773934,0.7840383202167233,0.10100755667506298,0.018765743073047857,0.3157894736842105,0.2651821862348178,0.20355606712688754,0.2467514729852191,0.5834512396999082,0.5707051018980911,0.545212826294457,0.6712943547136699,1.383495635554275,-0.1746073412169995,-0.1746073412169995,0.6862738899816648
deepseek,DeepSeek-V4-Pro,0.07087531374836498,0.2055486542443064,0.8565265977942184,0.7944513457556936,0.8488498162032541,0.7381443573674481,0.8157173546715524,0.7206168516584741,0.5816986324842263,0.6050912576316511,0.6482925925447158,0.1866498740554156,0.03614609571788413,0.1437246963562753,0.4797570850202429,0.2831466099260217,0.3247511703982292,0.6113692109295866,0.576996530899891,0.5082511708404998,0.6897992926418215,-0.56637599746254,0.46201221594674147,-0.56637599746254,-0.2067228629014561
deepseek-flash,DeepSeek-V4-Flash,0.05868243362675434,0.24318840579710144,0.8390410630678111,0.7568115942028986,0.8247811594692961,0.7124000480581288,0.7987527737174295,0.7359177282574594,0.595310477841245,0.6366163808774279,0.6835130624125536,0.16171284634760705,0.030730478589420653,0.15182186234817813,0.4068825910931174,0.267354602714705,0.31138745698745696,0.5986708673979905,0.5709028114005358,0.5153666994056265,0.6648171961021313,0.08999427662538384,0.005470849005119849,0.005470849005119849,0.025244474556095506
glm52,GLM-5.2,0.057740304733623224,0.23045548654244308,0.8471889192105263,0.7695445134575569,0.8347041214162952,0.7251107787444298,0.8078694724826225,0.7420722540533551,0.6086041021912197,0.6470551330425747,0.6937191047468987,0.15705289672544082,0.028589420654911837,0.17611336032388664,0.4048582995951417,0.25124116294333687,0.2831774757212097,0.5759027038077101,0.5491138962282567,0.49553628106934977,0.669813950657052,0.09989515462137444,0.16267984721514006,0.09989515462137444,0.13400810473217661
kimi,Kimi-K2.6,0.06231484427475519,0.18812284334023466,0.8702578384127332,0.8118771566597653,0.8636302596001895,0.761285158072281,0.8330415415900068,0.7508484777475403,0.6189360329443372,0.6522949874834043,0.7014172493295401,0.15856423173803527,0.02644836272040302,0.2125506072874494,0.3582995951417004,0.2548486051444256,0.2908992275698158,0.6420340961664676,0.6120530094481871,0.5520908360116261,0.7213254366858776,-0.164784380375532,0.6767356270354923,-0.164784380375532,0.12846391080961697
qwen-flash,Qwen3.6-Flash,0.08805811857036801,0.17474120082815736,0.8664376780264199,0.8252587991718426,0.8632303222238149,0.752588061983129,0.8248004537343164,0.7101766288027376,0.5661628296142928,0.5883832678278214,0.6417121920421212,0.2031486146095718,0.03425692695214106,0.12550607287449392,0.46963562753036436,0.29342384601683297,0.33265953852910374,0.6298983862613183,0.5875538463666671,0.5028647665773646,0.7090010316767036,-1.1551168142927715,0.8486257388279745,-1.1551168142927715,-0.39074834706307254
qwen-max,Qwen3.7-Max,0.058465019266801005,0.2793236714975845,0.8164328678324647,0.7206763285024155,0.7960828120186759,0.6785419730713943,0.7748075394904097,0.7221426350451424,0.5755636515919447,0.6145807994847303,0.6551846272059545,0.16914357682619646,0.036649874055415615,0.16396761133603238,0.451417004048583,0.27180421040947356,0.3157065712065712,0.5260147617356874,0.4983925324430795,0.4431480738578637,0.609417170631991,0.19607714902566897,-0.385244459839591,-0.385244459839591,-0.040992259189063816
qwen3-8b,Qwen3-8B,0.0317743132887899,0.4755141476880608,0.6804002799594707,0.5244858523119392,0.6109748265785461,0.5078206745250416,0.6618076926820996,0.6750093762404469,0.5216644512114259,0.5737612677026067,0.6204153764032032,0.15957178841309824,0.03312342569269521,0.1659919028340081,0.41700404858299595,0.2846379286236266,0.342621149382019,0.42871976833727576,0.4132780459913218,0.3823946012994139,0.4520710581258706,1.2100573164192223,-2.4442982158018527,-2.4442982158018527,0.022944245787698256
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.08808640011312617,0.17527260179434093,0.8661319540988804,0.8247273982056591,0.8628866638283078,0.7520801306230579,0.8244273320616887,0.7111031175669407,0.5696188104415052,0.5902910752884694,0.6413384205528149,0.2012594458438287,0.034760705289672546,0.12348178137651822,0.451417004048583,0.29099866162538796,0.33756633463155206,0.6214491677694931,0.5791647261532029,0.49459584292062264,0.7065261057451447,-1.0932423401150801,0.8486257388279745,-1.0932423401150801,-0.35847115671365976
