model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
qwen3-8b-v241-coldstart-4k,qwen3-8b-v241-coldstart-4k,0.04538009503136668,0.34498418863644176,0.7769349614354439,0.6550158113635582,0.7409208065448101,0.6252911315968323,0.7397571442214611,0.7690072067115343,0.6932961607449223,0.7334752641442288,0.7694513272781983,0.09797902276797135,0.020593502174469175,0.3237113402061856,0.27422680412371137,0.2018609106015121,0.2488195459511249,,,,,0.35746830092711157,-0.19863507086143795,-0.19863507086143795,-0.0302301077396515
qwen3-8b-v241-original-current-prompt,qwen3-8b-v241-original-current-prompt,0.04121385953229374,0.5185497084063749,0.6410167895050809,0.48145029159362507,0.5637887918687127,0.46160786690410355,0.6268242880408875,0.6398593554236798,0.4791756443783499,0.5283528843041281,0.5711348390089597,0.17625991302123306,0.04105909439754413,0.10721649484536082,0.5175257731958763,0.2861528727375066,0.32673448773448777,,,,,-1.0724049027813356,-2.0347381455933724,-2.0347381455933724,-0.9784165457432452
qwen3-8b-v241-sft-atomic-12k,qwen3-8b-v241-sft-atomic-12k,0.03550576871805048,0.2330629361014677,0.8544449623215854,0.7669370638985323,0.83849581823872,0.7397063738864503,0.8209541967869879,0.8452012946700233,0.7968708353020371,0.8287619365090723,0.8567358355752497,0.06421079559989767,0.011895625479662318,0.4639175257731959,0.177319587628866,0.16254637871179226,0.19486192754613807,,,,,0.35746830092711157,1.0714853800687596,0.35746830092711157,0.4576407136740461
qwen3-8b-v241-sft-fluent-12k,qwen3-8b-v241-sft-fluent-12k,0.03253381672800406,0.22691598208045463,0.8594209390262735,0.7730840179195454,0.8440244132293009,0.7479326441652019,0.8270334674610277,0.8524384904614589,0.8108502391299871,0.8411764412281573,0.8680263577515859,0.05935021744691737,0.010616525965720132,0.47835051546391755,0.15257731958762888,0.1557616196311148,0.19064564382985436,,,,,0.35746830092711157,1.1618878363860512,0.35746830092711157,0.5510059398088507
