model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.04125216530561742,0.3477432712215321,0.7763475542653062,0.652256728778468,0.7389275656562428,0.6253497263811973,0.7406697089819003,0.7349269828897441,0.6128223986675382,0.6676194005187626,0.7148737339018729,0.13161209068010077,0.02531486146095718,0.2145748987854251,0.34210526315789475,0.24384646170561164,0.30215153413837625,0.5326428256335297,0.5128218831511173,0.4731799981862924,0.5740655667371072,1.4288947820927795,-0.47157346399275246,-0.47157346399275246,0.6966144298316965
deepseek,DeepSeek-V4-Pro,0.09592392264998056,0.25314009661835746,0.8179822593484778,0.7468599033816425,0.8072033470281099,0.6752181717792899,0.767290653821108,0.6761009720980408,0.539701061863226,0.5548237903290552,0.5850577679635397,0.2154911838790932,0.053148614609571786,0.10526315789473684,0.6072874493927125,0.32322299673151067,0.37398973833184357,0.5944584853081997,0.547895576551527,0.4547697590381816,0.6237708513144155,-0.4894620898560511,0.5192178603793236,-0.4894620898560511,-0.19354366793804345
deepseek-flash,DeepSeek-V4-Flash,0.0900307561777495,0.2617943409247757,0.8151373306231856,0.7382056590752243,0.8023514724422259,0.6717444453739879,0.7654499352649832,0.6803682999335113,0.5474593081353013,0.5661796635707729,0.5971567263966604,0.20743073047858943,0.051259445843828716,0.10526315789473684,0.5850202429149798,0.3172817287201962,0.36821417763523023,0.5844928151048031,0.5422154438742024,0.4576607014130012,0.6208191129052756,-0.30280982830806025,0.41978676801143155,-0.30280982830806025,-0.11954491064771709
glm52,GLM-5.2,0.0813907448651324,0.284623878536922,0.8043537420716655,0.715376121463078,0.7866582520531671,0.6571511260784687,0.7559902510652972,0.6895129266575637,0.5496118474444419,0.5800574318071086,0.6167948685163507,0.19181360201511335,0.04433249370277078,0.14979757085020243,0.5222672064777328,0.30136258855747683,0.3417237894716223,0.5682554899239319,0.5294302345062488,0.4517797236708828,0.6031587269827257,0.003547791279614465,0.1741115511549065,0.003547791279614465,0.12366036787754957
kimi,Kimi-K2.6,0.08756319157210027,0.25442374051069705,0.8206102060493571,0.745576259489303,0.8085766612316234,0.6802912226480312,0.7720087119448018,0.6976932594737556,0.5639140546972996,0.5926146716100786,0.6302430822539252,0.18828715365239296,0.04231738035264484,0.145748987854251,0.4797570850202429,0.30153678087907965,0.3560210170806146,0.6103333225740507,0.569438211745755,0.4876479900891636,0.6372810202182991,-0.07608802594258002,0.501002235448214,-0.07608802594258002,0.14908911976313108
qwen-flash,Qwen3.6-Flash,0.10820164739986567,0.2512146307798482,0.8140584961804997,0.7487853692201518,0.8050240812422221,0.6677655587216147,0.7603891478801907,0.6569883732374894,0.5154618567117402,0.527609649296769,0.5613680973370765,0.23614609571788414,0.05579345088161209,0.08097165991902834,0.6133603238866396,0.3482110813249358,0.403532775721011,0.6018586199529358,0.5492796967726763,0.4441218504121573,0.6174568196050831,-0.9397824873850844,0.5466608338097694,-0.9397824873850844,-0.3639909853382767
qwen-max,Qwen3.7-Max,0.07299642945522677,0.33663216011042096,0.7733342691242965,0.663367839889579,0.7442636119912758,0.6149443561622132,0.7269142736229015,0.6781483707007144,0.532860335506017,0.570680245563908,0.6086503848922855,0.19005037783375314,0.04508816120906801,0.10526315789473684,0.5506072874493927,0.2908883905568116,0.3273809523809524,0.5155610504748686,0.4812670284859691,0.4126789845081701,0.5516747779323309,0.27555653959314874,-0.35861239937805145,-0.35861239937805145,0.005242154446354941
qwen3-8b,Qwen3-8B,0.04314879626683636,0.49562456866804694,0.6605576808171255,0.5043754313319531,0.5887581936413374,0.4826122386034129,0.6408177567100778,0.6439422333171135,0.48397668650388026,0.5199697222408819,0.5506104013316746,0.1858942065491184,0.048110831234256926,0.10323886639676114,0.5404858299595142,0.30180695874174135,0.35474634544199757,0.41733830719596193,0.3977338952752916,0.35852507143395107,0.4293286477598702,1.13874258362923,-1.8956310153786542,-1.8956310153786542,0.06646447734358178
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.11057729699155089,0.25000690131124914,0.8137787721490285,0.7499930986887509,0.805171278358339,0.6670608890734313,0.7596105344648,0.6528536859248009,0.5127646467477992,0.5230994043433013,0.5571999228804472,0.2403022670025189,0.056171284634760704,0.08704453441295547,0.6052631578947368,0.3435245290466552,0.39110520889050976,0.6003522973373849,0.5475161888776685,0.44184397195823555,0.6175250812245693,-1.0385992651029952,0.5650376299458144,-1.0385992651029952,-0.3639909853382767
