model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
deepseek,DeepSeek-V4-Pro,0.4017759021129553,0.1371529216742644,0.7065718952636612,0.5982240978870448,0.675385617247021,0.5161759150458854,0.6407141174751868,0.6135758499048539,0.4929823316208219,0.3609266606710807,0.24739599862304706,0.5593412833617263,0.20783645655877342,0.158,0.674,0.6244999999999999,0.7019230769230769,0.5943492408725319,0.41897890721819564,0.06823823990952294,0.4980220614665468,-0.5902425083558098,0.7713206273163005,-0.5902425083558098,0.00247155536710365
deepseek-flash,DeepSeek-V4-Flash,0.3837860420325157,0.19258184832159136,0.6989759947242254,0.6162139579674843,0.6811971804712481,0.49754233498054284,0.6157547397639286,0.5948833764220295,0.4443684340045521,0.34499765191072784,0.2563026301563853,0.5752413401476434,0.1970471323111868,0.14,0.638,0.6091666666666666,0.6858974358974359,0.5530216647237537,0.3834987790952486,0.04445300783823847,0.4505113340776517,-0.28341780800471783,-0.0746949163526116,-0.28341780800471783,-0.0727907710804913
glm52,GLM-5.2,0.3715359995468192,0.15643044619422572,0.7203002878724041,0.6284640004531807,0.6988449444540217,0.5301530964452816,0.64802236950597,0.6283535898683111,0.4968958835655701,0.3860620104987109,0.28851285106790003,0.5371947756956275,0.19193639977285634,0.196,0.632,0.5911666666666666,0.6753205128205129,0.5891445318672539,0.43029900985966313,0.11260796584448163,0.5093468811730697,-0.09335151142367693,0.4651488963267294,-0.09335151142367693,0.07673666426793575
kimi,Kimi-K2.6,0.3073471931116524,0.20684486807570107,0.7395049037956953,0.6926528068883476,0.7345112180051633,0.5493811284252633,0.6572052925417643,0.6490409925046153,0.49807223498680697,0.424900687763487,0.35963636363636364,0.5122089721749006,0.17206132879045996,0.222,0.556,0.5991666666666666,0.6907051282051282,0.5779464203191942,0.4475422397266603,0.18673387854159262,0.5131799559724091,0.995703307332596,-0.2747312165304763,-0.2747312165304763,0.17999555817896326
qwen-flash,Qwen3.6-Flash,0.3841259276043732,0.18898328498411382,0.7001014674204452,0.6158740723956269,0.6816776752805901,0.4994841670577574,0.6179271916076753,0.597889346990352,0.4475235062087641,0.3482376657079912,0.2604881503645363,0.5746734809767178,0.19818285065303803,0.154,0.634,0.6283333333333333,0.6987179487179487,0.5597538214765942,0.39669371837797074,0.07057351218072383,0.4666151926361749,-0.2980178008523433,-0.029195466736219977,-0.2980178008523433,-0.062246604010195106
qwen-max,Qwen3.7-Max,0.43168866481617857,0.12671639729244372,0.6885387249969166,0.5683113351838214,0.6485332954156593,0.49629697024886915,0.6277299585942518,0.5976116651282424,0.4802195954017649,0.3374712992989102,0.2220775296455174,0.5848949460533788,0.21976149914821125,0.13,0.726,0.6125,0.7067307692307693,0.5944590701247541,0.40997767885981323,0.041014896329931605,0.49112065185515213,-1.1253242864885025,0.9419594137927563,-1.1253242864885025,-0.10897617038778906
qwen3-8b,Qwen3-8B,0.30430946581317625,0.33922503108164115,0.677783386384356,0.6607749689183589,0.6771113798476891,0.45969489110409495,0.5709770020701218,0.568653599537992,0.3610871877553648,0.31900117963233154,0.27918988039493375,0.6081771720613288,0.1800113571834185,0.142,0.538,0.6920000000000001,0.7483974358974359,0.4581109418308702,0.3215817399954881,0.04852333632472394,0.36369319575233405,1.0594383830502685,-1.8979598710861598,-1.8979598710861598,-0.14724902276332053
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.34668753186427237,0.18059124188423814,0.7269942859983253,0.6533124681357276,0.7137226398192101,0.5353299581766399,0.648480817500993,0.6325531967614063,0.49064859877602895,0.40243963994899357,0.3224404788735269,0.5229982964224872,0.17717206132879046,0.202,0.566,0.5875,0.6682692307692307,0.5871247966401019,0.44059162947304814,0.14752529513894064,0.5094041072478817,0.33521222474218737,0.09815253326968154,0.09815253326968154,0.1320587904277933
