model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.026977056598437445,0.2741062801932367,0.8314842736420628,0.7258937198067633,0.8069267542331683,0.706311243843086,0.7992777754722172,0.7931782128321072,0.6866972519707593,0.7334033175735235,0.7733383731388919,0.10554156171284634,0.019899244332493703,0.2894736842105263,0.27125506072874495,0.21133589845826686,0.2520772195640617,0.5702116120325669,0.5573797458042642,0.5317160133476586,0.6545481821012484,1.3097197102455276,-0.4164267434018911,-0.4164267434018911,0.644691370806085
deepseek,DeepSeek-V4-Pro,0.06741435995333546,0.1700897170462388,0.8782572513327226,0.8299102829537612,0.873839987837124,0.773962412409742,0.8416639486669505,0.7456333780104761,0.6152433416121141,0.6403360685496546,0.6835628977797735,0.16876574307304787,0.0318639798488665,0.1680161943319838,0.4352226720647773,0.2584225672418397,0.29514156758274407,0.6604470712464322,0.6291067028793378,0.566425966145149,0.7399712819068118,-0.40071094706321997,0.8385040510582673,-0.40071094706321997,-0.06734829400332845
deepseek-flash,DeepSeek-V4-Flash,0.0545710043482872,0.2629192546583851,0.8283547985536476,0.7370807453416148,0.8102830743143539,0.6968575087825388,0.7883398273288851,0.7330971339172659,0.5920235316405812,0.6370665411130788,0.6854828826768509,0.15931989924433249,0.029848866498740554,0.16396761133603238,0.3967611336032389,0.2515410677042256,0.29406223717802665,0.5741357298866738,0.5478780850321471,0.49536279532309346,0.6429377296204105,0.17248765578668301,-0.2922722590358209,-0.2922722590358209,0.017659398995420076
glm52,GLM-5.2,0.05813447873581504,0.2112146307798482,0.8585552950406837,0.7887853692201519,0.8487527068300372,0.7429297429461009,0.8204339269895579,0.750180880108613,0.6155700051675356,0.6519006430873866,0.6977336989021652,0.1557934508816121,0.028337531486146095,0.20647773279352227,0.38866396761133604,0.251495223675608,0.2854146330277909,0.6066716005662456,0.5785950989930847,0.522442095846763,0.6941733143606125,0.0116182036674628,0.3082244315674658,0.0116182036674628,0.08892844131498322
kimi,Kimi-K2.6,0.061897691519072366,0.1743271221532091,0.878304263221727,0.8256728778467909,0.873027695166095,0.7745656327581656,0.8425167908851456,0.759830110503084,0.6332814515477739,0.6655829506828388,0.7134657991311171,0.15201511335012594,0.02518891687657431,0.23076923076923078,0.3441295546558704,0.2516045948263609,0.29031633828847453,0.6605346979177713,0.6309106656768126,0.5716626011948951,0.7390978289910676,-0.1244254863476133,0.7931919847510844,-0.1244254863476133,0.13917066248801258
qwen-flash,Qwen3.6-Flash,0.08781242266765651,0.1717184265010352,0.8682120697378245,0.8282815734989648,0.8652103157058345,0.7555481618790421,0.8269794338875389,0.711819555114798,0.5703145228748685,0.5904025137438185,0.6411423652344574,0.20188916876574306,0.03513853904282116,0.12955465587044535,0.45951417004048584,0.2910519795306173,0.33475329115329117,0.6277334495335851,0.5851149321934642,0.4998778975132224,0.7108388897886804,-1.180689545469492,0.8271196454469791,-1.180689545469492,-0.4106131515226849
qwen-max,Qwen3.7-Max,0.05422809064234454,0.27161490683229816,0.8229648226226465,0.7283850931677018,0.8033231094923774,0.6888861603128711,0.7827713350169049,0.7323892760337238,0.5918789204045712,0.6362312200766986,0.6828342814881454,0.1580604534005038,0.03035264483627204,0.1680161943319838,0.39878542510121456,0.24838639614599367,0.2833672240040661,0.5411276573506649,0.5158094899946357,0.4651731552825772,0.6252643528985974,0.25374723864292825,-0.38114831924691517,-0.38114831924691517,0.013524472215760214
qwen3-8b,Qwen3-8B,0.031180400890868598,0.4836438923395445,0.673665634228913,0.5163561076604555,0.6022564003688237,0.5002559172211539,0.656783804513058,0.6714221803161483,0.5188294792716999,0.5670210777750184,0.6104803155197233,0.16095717884130983,0.03438287153652393,0.15587044534412955,0.4331983805668016,0.29115960006177394,0.35001483781918563,0.41831372838344855,0.40328032081106546,0.37321350566629935,0.4425082947354193,1.2102068337885319,-2.5964874111102,-2.5964874111102,-0.015877190998019826
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.08649379573655744,0.16491373360938577,0.8725377676568348,0.8350862663906142,0.8699241785770935,0.76285648544302,0.8323949804360379,0.7135364877791647,0.5714524145062714,0.5905407022238089,0.6422952410164768,0.20302267002518892,0.034634760705289674,0.12348178137651822,0.4392712550607287,0.2810087557086278,0.31943489795228924,0.6411515122171653,0.5995148946896791,0.5162416596347069,0.7221846260887036,-1.2519536632507977,0.9192946199710299,-1.2519536632507977,-0.4101357092962279
