model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.04527511083862332,0.3157922522492484,0.797140957990105,0.6842077477507515,0.7674105545250263,0.6532301661346914,0.7592884246080854,0.7500227802772897,0.6431188878493499,0.6857562183886271,0.7213105617029669,0.12490641377589219,0.028325430496630895,0.23,0.384,0.24222509692189326,0.2912639261323472,0.5730012459692485,0.551821640697312,0.5094624301534391,0.6106060792674997,1.2219253415031641,-0.5501732934036783,-0.5501732934036783,0.5612439270026655
deepseek,DeepSeek-V4-Pro,0.08150966664489574,0.22304236200256738,0.8418165487647047,0.7769576379974326,0.8332304070996954,0.7136280799270562,0.7969653142350245,0.7088784462037232,0.5825677300765749,0.5944742703920911,0.6191128116846603,0.19041677065136012,0.04891439980034939,0.136,0.57,0.3075115919583305,0.3484133402820682,0.6229519042333289,0.5868962563268849,0.5147849605139969,0.6750205179014841,-0.5047416775386111,0.4891158863855476,-0.5047416775386111,-0.0909647989451932
deepseek-flash,DeepSeek-V4-Flash,0.0676345601604588,0.2448679903750507,0.8344415436175127,0.7551320096249493,0.8211555576857993,0.7040589882908825,0.7916649663096603,0.7205340846766921,0.5954521581741552,0.6119955070106127,0.6354843702983894,0.1759421013226853,0.046044422261043175,0.136,0.586,0.2858972645002057,0.3322081230735077,0.6179962080796908,0.5873516901759085,0.5260626543683439,0.6646588079101721,-0.10362137942603056,0.226305357022762,-0.10362137942603056,-0.02411720720716161
glm52,GLM-5.2,0.07943967239663548,0.23007213154838313,0.8385329781855853,0.7699278684516169,0.828820879612879,0.7087650508127805,0.7936587973699876,0.7217704977392058,0.6029138118677365,0.6259784099840852,0.6555109479040916,0.16970301971549787,0.04167706513601198,0.15,0.53,0.27880686878481,0.32193844208832895,0.6069043514087884,0.5694497455574642,0.4945405338548158,0.6619801389929214,-0.11380821820386,0.3999223226864337,-0.11380821820386,0.05172058103405914
kimi,Kimi-K2.6,0.06916063225595312,0.23927334967129577,0.8372292971749246,0.7607266503287042,0.8249693887512459,0.7081143142180176,0.7943773453818341,0.7322856107707545,0.6135746048178152,0.6408107284043852,0.6711627865793228,0.1594709258797105,0.038807087596705765,0.198,0.476,0.2971245286585507,0.3529345246257011,0.6244540018761958,0.5916301083486939,0.5259823212936899,0.667470257244537,0.13022878452981335,0.2835183310124858,0.13022878452981335,0.1944989803727742
qwen-flash,Qwen3.6-Flash,0.09350088523418149,0.22420797003595466,0.8360678716141141,0.7757920299640453,0.8286568693896962,0.7032547884047844,0.7881940964865759,0.6980184274307878,0.5704468164209273,0.58304562325505,0.60924770080873,0.19765410531569752,0.05041177938607437,0.126,0.604,0.30724030136530134,0.3493669258092335,0.6238025917118613,0.5799729654063954,0.49231371279546376,0.660941479852854,-0.6527561281755094,0.4791201175022599,-0.6527561281755094,-0.29182714484867445
qwen-max,Qwen3.7-Max,0.07449380827674647,0.23513884489494247,0.8375501765182044,0.7648611551050575,0.826556702944497,0.7078837348583304,0.793578231218874,0.7154926683739539,0.5875986125276225,0.607277550803411,0.6352850164380146,0.1808085849762915,0.04554529573246818,0.13,0.59,0.29264376851218954,0.3324404761904762,0.6042105613567857,0.5698526949923839,0.5011369622635802,0.6621565487953395,-0.2855919993439784,0.3316878996468158,-0.2855919993439784,-0.09503438036064138
qwen3-8b,Qwen3-8B,0.03802468823674414,0.5011586616207926,0.6569928566476008,0.4988413383792074,0.5829615598137989,0.4798730520077379,0.6405444334283089,0.6581870644240678,0.5132415424143416,0.5521570672826168,0.5859787304181252,0.16471175442974795,0.04180184676815573,0.132,0.538,0.2912467061923584,0.33756842609267357,0.412773330568814,0.39554427157169547,0.36108615357745844,0.42733352268694563,1.2655199121491947,-2.459807539037139,-2.459807539037139,0.02508019765020781
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.09815389520597056,0.1982353333444476,0.8488656607513032,0.8017646666555525,0.8445248306610835,0.7230683415847934,0.8024071809663879,0.6946412660501039,0.5708915804200044,0.578393715924834,0.6057538552505126,0.20701272772647866,0.0520339406039431,0.11,0.606,0.33038752704385693,0.37777336004760753,0.6470504850634339,0.6011462996368957,0.5093379287838192,0.6857527188230605,-0.9571546354941898,0.8003109181845116,-0.9571546354941898,-0.33060015469803594
