model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.04774891985557362,0.32270148138081,0.7915785397691374,0.67729851861919,0.7608457196868155,0.6449582459353436,0.7530330658424109,0.7357752015261569,0.6173755765669777,0.6661306757477785,0.7084414133997506,0.1348002023267577,0.02794638340920587,0.21862348178137653,0.3582995951417004,0.25335962029325876,0.3084166666666667,0.5570451308898108,0.5340923003770667,0.4881866393515783,0.5966093710146347,1.4725841612214534,-0.8085062376628822,-0.8085062376628822,0.6506265393897124
deepseek,DeepSeek-V4-Pro,0.11131594415309806,0.19265028993385885,0.8460666635869138,0.8073497100661411,0.8431718748754514,0.7174788148283986,0.7973558439420287,0.6792964327312779,0.5509436442069373,0.553555099926969,0.5807572959391845,0.22584724329792616,0.05690440060698027,0.11740890688259109,0.6275303643724697,0.34787364024864026,0.4072110889110889,0.641706202718815,0.5881147702106662,0.48093190519436857,0.6758558870603327,-0.6728058908811407,0.7326157413079626,-0.6728058908811407,-0.22102792447319064
deepseek-flash,DeepSeek-V4-Flash,0.08593946801932809,0.23612338044758538,0.832247463616529,0.7638766195524146,0.822523990592768,0.6982294692356774,0.7852914343553911,0.6967295971814393,0.569793596519358,0.5880850494277456,0.6201812834310741,0.19448659585230146,0.04602933737986849,0.1417004048582996,0.5566801619433198,0.3007930321312674,0.3452379679144385,0.6271672210686062,0.5862181061763535,0.504319876391848,0.6569725849310377,-0.0045681428419799275,0.1793048751494717,-0.0045681428419799275,0.0338104309563389
glm52,GLM-5.2,0.10618048717185365,0.20090944097127844,0.8438046958905574,0.7990905590287216,0.8398855000974265,0.7142427341766231,0.7952733812379119,0.687778466362972,0.5591415668708706,0.5726598299192489,0.607030472149215,0.21029337379868487,0.04881133029843197,0.11740890688259109,0.5910931174089069,0.31210771026359263,0.3609858030858031,0.6332879499942048,0.583317315228058,0.4833760456957643,0.672828797780387,-0.4578020816731989,0.6205334862328225,-0.4578020816731989,-0.06747110176365743
kimi,Kimi-K2.6,0.08105424767749864,0.27107116970191175,0.8129818366184055,0.7289288302980883,0.7974975693392388,0.6698460523478377,0.7652497217470597,0.7018486417460822,0.5694505446168528,0.5970343623034648,0.6288753078152107,0.18133535660091046,0.04438543247344461,0.18016194331983806,0.5182186234817814,0.3031295767785706,0.35726998586209113,0.5886862106162812,0.5513531225100835,0.4766869462976882,0.6231667857429256,0.4232905420549029,-0.2365182799478318,-0.2365182799478318,0.20297664910018665
qwen-flash,Qwen3.6-Flash,0.0982516354836986,0.2570586436531666,0.8146778623577599,0.7429413563468334,0.803650400107145,0.6699461530172797,0.7631264805754232,0.6749715357267706,0.5427145751614568,0.5623214705648654,0.5956722249744104,0.20928174001011635,0.05032878098128477,0.15384615384615385,0.5607287449392713,0.32325441577536745,0.37579388292866556,0.5884166414901804,0.541609150516829,0.4479941685701263,0.6182940108818814,-0.1865385281979126,-0.0658908542437402,-0.1865385281979126,-0.09374031886534
qwen-max,Qwen3.7-Max,0.11394784200120608,0.1855010419498052,0.8487702047379728,0.8144989580501948,0.8465303626886015,0.7216885594681441,0.8003674106993257,0.6817349717017546,0.5599796115867866,0.55362607259638,0.5711062098918078,0.22862923621648962,0.06487101669195751,0.06680161943319839,0.7044534412955465,0.34054387882648757,0.39446185577707316,0.6482904304361176,0.5939697573114849,0.4853284110622197,0.6824874623279839,-0.5699057715391955,0.8246596502480186,-0.5699057715391955,-0.331064355949549
qwen3-8b,Qwen3-8B,0.06107133724170045,0.37858170245537737,0.7478688599025932,0.6214182975446226,0.7072685822244225,0.5834674511271116,0.7068979735352814,0.675746329257466,0.534374726519454,0.5758421587409788,0.6153582358418759,0.17766818411734953,0.04008598887202833,0.14979757085020243,0.5040485829959515,0.29294681407754836,0.3307421130035816,0.5237616289269553,0.494519724285006,0.43603591500110744,0.5351317957990597,0.8281749644706595,-1.3755879660086265,-1.3755879660086265,0.22811885356609887
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.11293115128892145,0.24177199420132284,0.8176037562105986,0.7582280057986772,0.8102441143515934,0.6726004441643295,0.7635312363398371,0.6527836334482925,0.5159119993284526,0.5197643874568063,0.5482809716360739,0.24241274658573597,0.05981284774911482,0.08502024291497975,0.6497975708502024,0.33760506650212535,0.38513259942671707,0.6133492197905699,0.5589501837145093,0.45015211156238844,0.6253782761114176,-0.832429252613589,0.12938958492480612,-0.832429252613589,-0.40222877196059964
