model_key,display_name,opb,upb,H,mincalib,softmin_p_minus_4,product_resistance,balanced_accuracy,macro_f1,multiclass_mcc,linear_weighted_kappa,quadratic_weighted_kappa,ordinal_mae,severe_two_step_atom_error_rate,strict_sample_accuracy,severe_two_step_sample_rate,linear_loss_cvar90,linear_loss_cvar95,pmu_lambda_0_5,pmu_lambda_1_0,pmu_lambda_2_0,relative_pmu_lambda_1_0,rasch_over_theta,rasch_under_theta,rasch_min_theta,bradley_terry_ability
codex-gpt56-sol,Codex GPT-5.6 Sol,0.2120149549651617,0.29374222958972235,0.7448863802730304,0.7062577704102777,0.7415792378370148,0.5565205610229471,0.6628285436300773,0.6615976960456089,0.4956075002573259,0.48263772574859254,0.4718802044691246,0.4616695059625213,0.12322544009085747,0.27,0.374,0.6008333333333333,0.6842948717948718,0.5302853324468482,0.4363062637333151,0.24834812630624892,0.4920635315344037,1.991373769566005,-0.6485980941864469,-0.6485980941864469,0.3982450554517334
deepseek,DeepSeek-V4-Pro,0.3830028890273608,0.19269236082331814,0.6994380675707697,0.6169971109726392,0.6818193557245262,0.4981064810381545,0.6162031667662141,0.5971913272324896,0.4457158135204157,0.3425608282698226,0.2504734402731932,0.5769449176604202,0.19931856899488926,0.17,0.642,0.642,0.7083333333333334,0.548590009053677,0.38299988272953944,0.051819630081264334,0.45633964498838064,-0.6077607727444354,0.5088054790467114,-0.6077607727444354,0.0014016367580142464
deepseek-flash,DeepSeek-V4-Flash,0.3925550897864386,0.19939908827186076,0.6907743219193768,0.6074449102135614,0.6724911732019688,0.4863209489415949,0.6053638812944672,0.5833629557208103,0.4291252965870655,0.3301429806633026,0.24309594451212324,0.5905735377626349,0.2015900056785917,0.126,0.65,0.6211666666666666,0.7099358974358974,0.5298306609581791,0.3568225320282522,0.0108062741683983,0.43297873547990995,-0.7451253926690313,0.40462913867056827,-0.7451253926690313,-0.09267310609419381
kimi,Kimi-K2.6,0.31072055741233784,0.19582124602845696,0.7423092049786364,0.6892794425876622,0.7358548825055593,0.5543038832783459,0.6623054643728035,0.6531987695083701,0.5061691125025358,0.43599830790638383,0.37315961783044793,0.4991482112436116,0.16467915956842702,0.25,0.522,0.6431666666666667,0.7192307692307692,0.585696792752288,0.4545611500853192,0.19228986475138166,0.5231662250721654,0.46164436620844373,0.45637942603802895,0.45637942603802895,0.27608126599566213
qwen-flash,Qwen3.6-Flash,0.3937942559338356,0.20074595938665563,0.6894717240143383,0.6062057440661643,0.6711791412296852,0.4845123903879008,0.6036398564530059,0.5836001356166177,0.4269333435184206,0.318578363546821,0.22138180075948477,0.5996592844974447,0.20954003407155025,0.136,0.67,0.6508333333333333,0.7147435897435896,0.550365799362168,0.3860127149006034,0.0573065459774742,0.45201074131596664,-0.7728340706453567,0.40462913867056827,-0.7728340706453567,-0.1256192702258371
qwen-max,Qwen3.7-Max,0.38423780660510964,0.20088410001381407,0.6955586656605266,0.6157621933948904,0.6790201944349301,0.4920653593522257,0.6099187289207175,0.5903856894556476,0.4343950919700956,0.33932090462920794,0.25564749189604974,0.5843270868824532,0.19931856899488926,0.152,0.634,0.66,0.7275641025641026,0.5456496634437167,0.38180215877029,0.05410714942343675,0.4516456833431054,-0.6214135577374003,0.38411071623934623,-0.6214135577374003,-0.053198604543120025
qwen3-8b,Qwen3-8B,0.2509120262844842,0.4516991297140489,0.6331572678583824,0.5483008702859511,0.6121788346694438,0.41072558790895697,0.5315925626676447,0.5321321706660839,0.3024116684740801,0.27652060086657726,0.2567686962667992,0.6587166382737081,0.18739352640545145,0.142,0.548,0.7281666666666666,0.7881410256410256,0.37924403535605,0.2658164309828556,0.03896122223646692,0.29483781233226497,1.3634634730247095,-2.2359711470653094,-2.2359711470653094,-0.26542209329035693
qwen35-35b-a3b,Qwen3.5-35B-A3B,0.41368605902679434,0.17568724962011328,0.6852359454592484,0.5863139409732057,0.658634916272808,0.4833060572696937,0.6070844609020616,0.5774172263947154,0.43926096150090504,0.31232117999539055,0.20048642267412808,0.6013628620102215,0.21635434412265758,0.124,0.698,0.6308333333333332,0.6923076923076923,0.5581019726282795,0.37851918216773456,0.019353601246644647,0.4484842625429673,-1.069347815002936,0.7260153425865332,-1.069347815002936,-0.1388148840519019
